,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
EHD1,3.79E-186,0.66973816,0.949,0.745,1.09E-181,1,EHD1
NSUN4,5.87E-186,0.693715705,0.702,0.342,1.68E-181,1,NSUN4
FLJ36000,6.41E-185,0.744649804,0.786,0.422,1.84E-180,1,FLJ36000
CSMD2-AS1,8.32E-185,0.795008372,0.906,0.578,2.38E-180,1,CSMD2-AS1
AKAP14,1.77E-184,0.79538748,0.822,0.507,5.06E-180,1,AKAP14
CT83,2.71E-184,0.840516079,0.853,0.518,7.77E-180,1,CT83
SLIT1-AS1,1.04E-183,0.825570829,0.698,0.285,2.98E-179,1,SLIT1-AS1
TTLL10,2.81E-183,0.710537487,0.787,0.436,8.04E-179,1,TTLL10
SPATA24,4.44E-181,0.842354061,0.902,0.755,1.27E-176,1,SPATA24
ATP6V1A,9.02E-180,0.666470173,0.851,0.516,2.58E-175,1,ATP6V1A
WDR1,1.86E-179,0.627239175,0.919,0.841,5.33E-175,1,WDR1
C9orf50,2.39E-178,0.585357331,0.54,0.167,6.85E-174,1,C9orf50
ZNF649-AS1,3.96E-178,0.730412329,0.862,0.567,1.13E-173,1,ZNF649-AS1
SPATA32,1.43E-176,0.695825616,0.641,0.262,4.11E-172,1,SPATA32
CCDC187,2.99E-176,0.606068597,0.538,0.175,8.56E-172,1,CCDC187
SMIM6,5.24E-176,0.9165502,0.797,0.502,1.50E-171,1,SMIM6
RNF38,1.52E-174,0.730140893,0.844,0.607,4.36E-170,1,RNF38
MACROD2-AS1,3.78E-174,0.677790637,0.81,0.448,1.08E-169,1,MACROD2-AS1
RP11-364B14.1,1.77E-173,0.578030108,0.531,0.166,5.08E-169,1,RP11-364B14.1
C11orf1,2.96E-173,0.792308458,0.863,0.733,8.47E-169,1,C11orf1
MEX3D,9.56E-173,0.581645615,0.569,0.202,2.74E-168,1,MEX3D
DNAJA4,1.76E-172,0.748882807,0.847,0.567,5.04E-168,1,DNAJA4
SMPD1,4.97E-171,0.493352719,0.477,0.129,1.42E-166,1,SMPD1
RP11-415J8.5,7.96E-171,0.697741885,0.694,0.341,2.28E-166,1,RP11-415J8.5
EDRF1-AS1,5.34E-169,0.692747895,0.705,0.309,1.53E-164,1,EDRF1-AS1
RNF44,7.03E-169,0.670810045,0.635,0.265,2.01E-164,1,RNF44
XXyac-YX155B6.5,2.64E-168,0.943209621,0.839,0.519,7.55E-164,1,XXyac-YX155B6.5
GTSF1L,3.42E-168,0.733200568,0.983,0.738,9.78E-164,1,GTSF1L
EEF2KMT,1.38E-167,0.704939483,0.761,0.435,3.94E-163,1,EEF2KMT
GDPD3,1.87E-167,0.525641997,0.473,0.131,5.34E-163,1,GDPD3
UBQLN3,2.17E-167,0.694773403,0.912,0.557,6.22E-163,1,UBQLN3
ACPT,3.52E-165,0.556696418,0.497,0.151,1.01E-160,1,ACPT
HYPM,2.47E-164,0.705706468,0.748,0.398,7.07E-160,1,HYPM
NRDC,4.52E-164,0.696895459,0.889,0.619,1.30E-159,1,NRDC
AC012594.1,5.79E-164,0.692693577,0.743,0.387,1.66E-159,1,AC012594.1
GSTK1,1.04E-163,0.720297224,0.883,0.571,2.96E-159,1,GSTK1
TMEM210,5.00E-163,0.623767677,0.93,0.529,1.43E-158,1,TMEM210
SLC38A7,1.08E-162,0.730672736,0.822,0.627,3.10E-158,1,SLC38A7
SPERT,5.30E-160,0.837941882,0.834,0.532,1.52E-155,1,SPERT
